param_info,stimuli_sequence,trial_number,test_type,fam_duration,mean_sample
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBBBBB,10,fam,9,5.645
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBBBBD,10,nov,9,22.245
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBBBD,9,nov,8,25.92
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBBD,8,nov,7,24.805
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBD,7,nov,6,26.63
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBD,6,nov,5,27.405
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBD,5,nov,4,22.94
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBD,4,nov,3,27.4425
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBD,3,nov,2,24.7
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BD,2,nov,1,25.5575
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,B,1,fam,0,23.465
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BB,2,fam,1,19.4925
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBB,3,fam,2,16.0875
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBB,4,fam,3,12.7875
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBB,5,fam,4,10.7475
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBB,6,fam,5,9.1925
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBB,7,fam,6,7.992105263157895
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBBB,8,fam,7,6.645
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBBBB,9,fam,8,6.4075
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBBBBB,10,fam,9,5.815
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBBBBD,10,nov,9,25.895
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBBBD,9,nov,8,25.7725
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBBD,8,nov,7,26.6425
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBBD,7,nov,6,24.94
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBBD,6,nov,5,22.8375
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBBD,5,nov,4,25.9225
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBBD,4,nov,3,27.5325
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BBD,3,nov,2,28.33
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_1,BD,2,nov,1,26.555
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,B,1,fam,0,38.71
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BB,2,fam,1,35.0875
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBB,3,fam,2,28.99
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBB,4,fam,3,28.9225
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBB,5,fam,4,20.9375
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBB,6,fam,5,18.1925
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBB,7,fam,6,18.0425
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBBB,8,fam,7,19.4425
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBBBB,9,fam,8,16.5275
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBBBBB,10,fam,9,14.1625
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBBBBD,10,nov,9,46.12
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBBBD,9,nov,8,39.34
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBBD,8,nov,7,45.155
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBBD,7,nov,6,50.48
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBBD,6,nov,5,50.15
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBBD,5,nov,4,43.75
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBBD,4,nov,3,41.9425
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BBD,3,nov,2,47.2225
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.100000001490116,BD,2,nov,1,45.315
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,B,1,fam,0,41.0475
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BB,2,fam,1,36.765
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBB,3,fam,2,31.2175
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBBB,4,fam,3,29.835
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBBBB,5,fam,4,25.4175
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBBBBB,6,fam,5,21.23
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBBBBBB,7,fam,6,19.7575
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBBBBBBB,8,fam,7,19.035
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBBBBBBBB,9,fam,8,18.03
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBBBBBBBBB,10,fam,9,14.8025
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBBBBBBBBD,10,nov,9,49.1075
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBBBBBBBD,9,nov,8,55.555
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBBBBBBD,8,nov,7,47.886842105263156
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBBBBBD,7,nov,6,52.795
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBBBBD,6,nov,5,54.9125
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBBBD,5,nov,4,52.4325
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBBD,4,nov,3,53.2775
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BBD,3,nov,2,50.68
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_0.5,BD,2,nov,1,49.41
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,B,1,fam,0,41.8425
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BB,2,fam,1,38.175
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBB,3,fam,2,34.4025
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBB,4,fam,3,29.0725
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBB,5,fam,4,26.985
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBBB,6,fam,5,23.485
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBBBB,7,fam,6,20.67
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBBBBB,8,fam,7,18.835
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBBBBBB,9,fam,8,17.06
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBBBBBBB,10,fam,9,15.935
v_1_ap_1_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBBBBBBD,10,nov,9,45.6525
