,sample_n,run_id,v_type
4,12,27,animacy
5,30,27,animacy
0,28,28,background
1,4,28,background
2,87,28,background
3,6,28,background
4,9,28,background
5,1,28,background
0,29,28,identity
1,2,28,identity
2,87,28,identity
3,4,28,identity
4,13,28,identity
5,4,28,identity
0,29,28,number
1,8,28,number
2,13,28,number
3,56,28,number
4,9,28,number
5,7,28,number
0,30,28,pose
1,1,28,pose
2,2,28,pose
3,7,28,pose
4,66,28,pose
5,15,28,pose
0,27,28,animacy
1,9,28,animacy
2,64,28,animacy
3,7,28,animacy
4,11,28,animacy
5,3,28,animacy
0,18,29,background
1,1,29,background
2,1,29,background
3,1,29,background
4,1,29,background
5,1,29,background
0,18,29,identity
1,1,29,identity
2,1,29,identity
3,1,29,identity
4,1,29,identity
5,1,29,identity
0,19,29,number
1,1,29,number
2,1,29,number
3,1,29,number
4,1,29,number
5,1,29,number
0,18,29,pose
1,1,29,pose
2,1,29,pose
3,1,29,pose
4,1,29,pose
5,1,29,pose
0,18,29,animacy
1,2,29,animacy
2,1,29,animacy
3,1,29,animacy
4,1,29,animacy
5,1,29,animacy
0,3,30,background
1,1,30,background
2,1,30,background
3,1,30,background
4,1,30,background
5,1,30,background
0,4,30,identity
1,1,30,identity
2,1,30,identity
3,1,30,identity
4,1,30,identity
5,7,30,identity
0,119,30,number
1,1,30,number
2,1,30,number
3,1,30,number
4,1,30,number
5,64,30,number
0,5,30,pose
1,1,30,pose
2,1,30,pose
3,1,30,pose
4,1,30,pose
5,19,30,pose
0,3,30,animacy
1,1,30,animacy
2,1,30,animacy
3,1,30,animacy
4,1,30,animacy
5,10,30,animacy
0,35,31,background
1,4,31,background
2,4,31,background
3,9,31,background
4,1,31,background
5,1,31,background
0,43,31,identity
1,2,31,identity
2,1,31,identity
3,6,31,identity
4,1,31,identity
5,4,31,identity
0,35,31,number
1,2,31,number
2,2,31,number
3,6,31,number
4,2,31,number
5,1,31,number
0,26,31,pose
1,6,31,pose
2,7,31,pose
3,3,31,pose
4,2,31,pose
5,2,31,pose
0,23,31,animacy
1,2,31,animacy
2,13,31,animacy
3,6,31,animacy
4,1,31,animacy
5,3,31,animacy
0,3,32,background
1,8,32,background
2,3,32,background
3,1,32,background
4,1,32,background
5,1,32,background
0,2,32,identity
1,7,32,identity
2,5,32,identity
3,1,32,identity
4,1,32,identity
5,1,32,identity
0,4,32,number
1,5,32,number
2,4,32,number
3,1,32,number
4,1,32,number
5,1,32,number
0,2,32,pose
1,5,32,pose
2,4,32,pose
3,1,32,pose
4,1,32,pose
5,1,32,pose
0,3,32,animacy
1,7,32,animacy
2,3,32,animacy
3,1,32,animacy
4,1,32,animacy
5,1,32,animacy
0,3,33,background
1,1,33,background
2,1,33,background
3,1,33,background
4,18,33,background
5,6,33,background
0,3,33,identity
1,1,33,identity
2,1,33,identity
3,1,33,identity
4,20,33,identity
5,2,33,identity
0,3,33,number
1,1,33,number
2,1,33,number
3,1,33,number
4,18,33,number
5,6,33,number
0,3,33,pose
1,1,33,pose
2,1,33,pose
3,1,33,pose
