,sample_n,run_id,v_type
5,9,48,identity
0,9,48,number
1,10,48,number
2,13,48,number
3,12,48,number
4,9,48,number
5,11,48,number
0,8,48,pose
1,21,48,pose
2,11,48,pose
3,9,48,pose
4,6,48,pose
5,11,48,pose
0,4,48,animacy
1,12,48,animacy
2,10,48,animacy
3,13,48,animacy
4,15,48,animacy
5,12,48,animacy
0,6,49,background
1,1,49,background
2,1,49,background
3,1,49,background
4,1,49,background
5,1,49,background
0,38,49,identity
1,1,49,identity
2,1,49,identity
3,1,49,identity
4,1,49,identity
5,1,49,identity
0,5,49,number
1,1,49,number
2,1,49,number
3,1,49,number
4,1,49,number
5,4,49,number
0,41,49,pose
1,3,49,pose
2,1,49,pose
3,1,49,pose
4,1,49,pose
5,3,49,pose
0,1,49,animacy
1,2,49,animacy
2,33,49,animacy
3,1,49,animacy
4,2,49,animacy
5,23,49,animacy
0,17,50,background
1,1,50,background
2,1,50,background
3,2,50,background
4,1,50,background
5,1,50,background
0,57,50,identity
1,4,50,identity
2,12,50,identity
3,3,50,identity
4,4,50,identity
5,2,50,identity
0,13,50,number
1,21,50,number
2,8,50,number
3,7,50,number
4,3,50,number
5,40,50,number
0,38,50,pose
1,11,50,pose
2,7,50,pose
3,11,50,pose
4,4,50,pose
5,1,50,pose
0,44,50,animacy
1,12,50,animacy
2,1,50,animacy
3,1,50,animacy
4,1,50,animacy
5,5,50,animacy
0,3,51,background
1,1,51,background
2,1,51,background
3,1,51,background
4,1,51,background
5,1,51,background
0,33,51,identity
1,2,51,identity
2,1,51,identity
3,1,51,identity
4,1,51,identity
5,1,51,identity
0,11,51,number
1,2,51,number
2,1,51,number
3,1,51,number
4,1,51,number
5,1,51,number
0,15,51,pose
1,3,51,pose
2,1,51,pose
3,1,51,pose
4,1,51,pose
5,4,51,pose
0,19,51,animacy
1,3,51,animacy
2,17,51,animacy
3,2,51,animacy
4,4,51,animacy
5,1,51,animacy
0,133,52,background
1,12,52,background
2,7,52,background
3,11,52,background
4,1,52,background
5,1,52,background
0,10,52,identity
1,1,52,identity
2,2,52,identity
3,1,52,identity
4,2,52,identity
5,1,52,identity
0,3,52,number
1,2,52,number
2,4,52,number
3,2,52,number
4,3,52,number
5,7,52,number
0,5,52,pose
1,42,52,pose
2,1,52,pose
3,3,52,pose
4,2,52,pose
