trial_id,stim_id,param_id,sample_n_mean,sample_n_std
0,35,128,48.3,29.989647336513
12,45,105,72.15,49.59655654430689
15,3,122,26.6,23.047776465420693
9,11,109,44.4,54.818744393155384
4,38,126,45.3,39.905282594505806
11,3,1,75.25,72.05836450223418
0,44,127,75.15,74.20545802028313
16,26,120,25.7,24.45425374685945
0,35,128,27.0,16.8053876072996
18,33,108,10.8,17.410220833570268
7,5,124,40.25,28.001644688538526
11,8,107,53.4,49.76936280166957
16,29,12,18.9,20.948307305063302
15,3,122,28.5,29.065262319205214
0,35,128,38.85,24.3402958075698
7,5,124,28.0,20.349576485958984
4,38,126,47.15,38.799450620093225
7,20,123,51.45,54.92624240982772
3,9,125,60.55,50.771391654418096
8,27,121,76.7,86.62812233303552
16,26,120,23.15,27.108505171469325
18,34,108,22.9,30.832143172857432
12,45,105,59.0,42.94059544116855
16,29,12,23.95,24.11480218062189
9,11,109,54.6,77.07508301035186
11,3,1,53.7,46.43286041496678
0,35,128,38.9,26.558574787379726
7,5,124,24.95,22.855323000860963
11,8,107,52.9,43.944821861296155
15,3,122,27.7,23.312747811579737
16,26,120,14.4,17.40961621754211
4,38,126,42.75,51.289554697351704
3,9,125,51.45,36.850301719824564
12,46,105,22.35,21.43601249250773
7,5,124,29.45,26.412666419133473
0,35,128,42.3,36.162062120986754
0,44,127,89.15,85.95793034661598
18,34,108,29.25,32.31404289811247
16,29,12,32.8,36.40358571118481
7,20,123,70.05,51.78241420649129
9,11,109,46.85,54.58096352161043
15,3,122,26.85,25.58427765558166
16,26,120,16.7,21.621383177917085
4,38,126,36.6,38.2669295180165
0,35,128,33.2,24.633310780323463
11,8,107,53.4,44.90621806668461
7,5,124,31.75,23.4652598760941
8,27,121,80.05,75.97331595265608
16,29,12,16.8,23.9266422743835
18,34,108,23.6,24.182203112380414
4,38,126,28.7,31.410859670871123
3,9,125,65.7,66.98318720709737
0,35,128,36.95,24.140978482763767
15,3,122,22.65,31.698040782888842
12,46,105,53.5,52.52618394667559
11,3,1,78.9,74.08096566382089
16,26,120,20.25,24.833922046477603
0,44,127,74.25,55.31714781245742
7,5,124,45.05,29.826648275802313
16,29,12,15.15,23.560169331890812
4,39,126,34.1,39.1285331345702
8,27,121,41.25,46.07645248588709
0,35,128,43.45,32.82886246165583
16,26,120,18.25,24.250610410114582
15,3,122,25.2,26.613411735636724
12,46,105,33.85,32.16613943754813
18,34,108,30.15,39.075197410014184
7,20,123,86.7,54.4504603431316
7,5,124,24.45,17.421931127476263
9,11,109,76.45,71.77924857725796
16,29,12,14.35,18.84919375631642
11,8,107,72.45,79.73936160688574
0,35,128,40.5,26.82791162400203
4,39,126,40.0,34.87722828195467
16,26,120,10.5,13.740068183390159
15,3,122,20.3,25.437436150184965
