"","subject_num","experiment","fam_or_test","unique_id","animal","block_num","test_type","fam_duration","LT","exclude","age","sex"
"273",29,"A","fam","A_29",4,1,"nov","4",18.002,FALSE,230,"F"
"274",29,"A","test","A_29",3,1,"nov","4",3.272,FALSE,230,"F"
"275",29,"A","fam","A_29",6,3,"fam","4",2.53,FALSE,230,"F"
"276",29,"A","test","A_29",6,3,"fam","4",9.261,FALSE,230,"F"
"277",29,"A","fam","A_29",9,2,"fam","8",36.367,FALSE,230,"F"
"278",29,"A","test","A_29",9,2,"fam","8",2.269,FALSE,230,"F"
"279",29,"A","fam","A_29",8,4,"nov","8",2.081,FALSE,230,"F"
"280",29,"A","test","A_29",7,4,"nov","8",27.45,FALSE,230,"F"
"281",30,"A","test","A_30",12,1,"fam","0",48.657,FALSE,329,"M"
"282",30,"A","test","A_30",3,3,"fam","0",48.377,FALSE,329,"M"
"283",30,"A","fam","A_30",6,2,"fam","4",19.92,FALSE,329,"M"
"284",30,"A","test","A_30",6,2,"fam","4",47.078,FALSE,329,"M"
"285",30,"A","fam","A_30",9,4,"nov","4",19.16,FALSE,329,"M"
"286",30,"A","test","A_30",10,4,"nov","4",31.028,FALSE,329,"M"
"287",30,"A","fam","A_30",7,5,"nov","8",33.182,FALSE,329,"M"
"288",30,"A","test","A_30",8,5,"nov","8",15.853,FALSE,329,"M"
"289",30,"A","fam","A_30",2,6,"fam","8",37.523,FALSE,329,"M"
"290",30,"A","test","A_30",2,6,"fam","8",9.97799999999999,FALSE,329,"M"
"291",31,"A","test","A_31",3,4,"fam","0",NA,TRUE,214,"M"
"292",31,"A","test","A_31",1,6,"fam","0",NA,TRUE,214,"M"
"293",31,"A","fam","A_31",6,3,"nov","4",NA,TRUE,214,"M"
"294",31,"A","test","A_31",5,3,"nov","4",NA,TRUE,214,"M"
"295",31,"A","fam","A_31",10,5,"fam","4",NA,TRUE,214,"M"
"296",31,"A","test","A_31",10,5,"fam","4",NA,TRUE,214,"M"
"297",31,"A","fam","A_31",11,1,"fam","8",NA,TRUE,214,"M"
"298",31,"A","test","A_31",11,1,"fam","8",NA,TRUE,214,"M"
"299",31,"A","fam","A_31",8,2,"nov","8",NA,TRUE,214,"M"
"300",31,"A","test","A_31",7,2,"nov","8",NA,TRUE,214,"M"
"301",32,"A","test","A_32",12,3,"fam","0",12.281,FALSE,246,"F"
"302",32,"A","test","A_32",3,5,"fam","0",9.87099999999999,FALSE,246,"F"
"303",32,"A","fam","A_32",8,1,"fam","4",16.609,FALSE,246,"F"
"304",32,"A","test","A_32",8,1,"fam","4",23.212,FALSE,246,"F"
"305",32,"A","fam","A_32",5,2,"nov","4",17.632,FALSE,246,"F"
"306",32,"A","test","A_32",6,2,"nov","4",13.093,FALSE,246,"F"
"307",32,"A","fam","A_32",2,4,"fam","8",25.966,FALSE,246,"F"
"308",32,"A","test","A_32",2,4,"fam","8",1.701,TRUE,246,"F"
"309",32,"A","fam","A_32",9,6,"nov","8",22.092,FALSE,246,"F"
"310",32,"A","test","A_32",10,6,"nov","8",7.77,FALSE,246,"F"
"311",1,"B","fam","B_1",6,1,"nov","1",3.915,FALSE,264,"F"
"312",1,"B","test","B_1",5,1,"nov","1",27.744,FALSE,264,"F"
"313",1,"B","fam","B_1",9,3,"fam","3",10.201,FALSE,264,"F"
"314",1,"B","test","B_1",9,3,"fam","3",7.81599999999999,FALSE,264,"F"
"315",1,"B","fam","B_1",12,5,"nov","3",6.324,FALSE,264,"F"
"316",1,"B","test","B_1",11,5,"nov","3",0,TRUE,264,"F"
"317",1,"B","fam","B_1",8,2,"nov","9",21.61,FALSE,264,"F"
"318",1,"B","test","B_1",7,2,"nov","9",22.253,FALSE,264,"F"
"319",1,"B","fam","B_1",3,4,"fam","9",14.653,FALSE,264,"F"
"320",1,"B","test","B_1",3,4,"fam","9",4.728,FALSE,264,"F"
"321",2,"B","fam","B_2",3,2,"fam","1",0.151,TRUE,330,"F"
"322",2,"B","test","B_2",3,2,"fam","1",6.604,FALSE,330,"F"
"323",2,"B","fam","B_2",10,1,"fam","3",14.92,FALSE,330,"F"
"324",2,"B","test","B_2",10,1,"fam","3",3.87,FALSE,330,"F"
"325",2,"B","fam","B_2",7,3,"nov","3",6.86,FALSE,330,"F"
"326",2,"B","test","B_2",8,3,"nov","3",3.601,FALSE,330,"F"
"327",2,"B","fam","B_2",6,4,"nov","9",13.205,FALSE,330,"F"
"328",2,"B","test","B_2",5,4,"nov","9",10.969,FALSE,330,"F"
"329",2,"B","fam","B_2",12,5,"fam","9",37.522,FALSE,330,"F"
"330",2,"B","test","B_2",12,5,"fam","9",4.113,FALSE,330,"F"
"331",3,"B","fam","B_3",5,2,"fam","1",4.999,FALSE,316,"M"
"332",3,"B","test","B_3",5,2,"fam","1",53.927,FALSE,316,"M"
"333",3,"B","fam","B_3",7,1,"fam","3",14.2,FALSE,316,"M"
"334",3,"B","test","B_3",7,1,"fam","3",50.484,FALSE,316,"M"
"335",3,"B","fam","B_3",3,3,"nov","3",14.999,FALSE,316,"M"
"336",3,"B","test","B_3",4,3,"nov","3",43.855,FALSE,316,"M"
"337",3,"B","fam","B_3",12,4,"nov","9",7.674,FALSE,316,"M"
"338",3,"B","test","B_3",11,4,"nov","9",5.551,FALSE,316,"M"
"339",3,"B","fam","B_3",10,5,"fam","9",38.148,FALSE,316,"M"
"340",3,"B","test","B_3",10,5,"fam","9",4.201,FALSE,316,"M"
"341",4,"B","fam","B_4",7,2,"nov","1",4.999,FALSE,333,"F"
"342",4,"B","test","B_4",8,2,"nov","1",22.221,FALSE,333,"F"
"343",4,"B","fam","B_4",11,4,"fam","1",4.999,FALSE,333,"F"
"344",4,"B","test","B_4",11,4,"fam","1",25.22,FALSE,333,"F"
"345",4,"B","fam","B_4",6,1,"nov","3",14.452,FALSE,333,"F"
"346",4,"B","test","B_4",5,1,"nov","3",11.591,FALSE,333,"F"
"347",4,"B","fam","B_4",10,3,"fam","9",43.801,FALSE,333,"F"
