p_i,p_a,rsquared,rmse
2,80,0.41945285412088346,4.342007544025689
2,81,0.07908565061103555,5.692253393102844
2,82,0.4080665315935622,4.384108359277042
2,83,0.0730385233107149,5.724125326302638
2,84,0.5568058559107745,3.8240429770111577
2,85,0.13096748385650508,5.438899421179396
2,86,0.4497356599663944,4.227068897413646
2,87,0.10605912163653021,5.5750791575298315
2,88,0.4520064034936656,4.218414080470871
2,89,0.09881499077483981,5.6095807571273015
2,90,0.56480050521744,3.8386748332059395
2,91,0.1304105993939017,5.401791002119753
2,92,0.4404232700188889,4.267248472463197
2,93,0.0973874050938664,5.569618444501733
2,94,0.4391506844024122,4.271836885197735
2,95,0.09666930028531244,5.5771047083786485
2,96,0.5340727335627011,3.9409447953221886
2,97,0.10768716931555092,5.518750285733447
2,98,0.4260001351418062,4.318327094944091
2,99,0.08551804840287437,5.652344426849795
2,100,0.4180392787332872,4.347516278523033
2,101,0.08374832156388587,5.666259149401119
2,102,0.5230155310542203,3.96175945395857
2,103,0.11039548528512085,5.521832927232328
2,104,0.4334033300469085,4.289356129605718
2,105,0.0847048368945374,5.673159837633929
2,106,0.4298014852337208,4.302857502174613
2,107,0.08844874116409376,5.653273186866202
2,108,0.4970308625336881,4.071875823034633
2,109,0.09751361771029929,5.577026769178822
2,110,0.4077308373821132,4.385319605273088
2,111,0.07851370550202814,5.6946218457195386
2,112,0.4071741336546661,4.387449767663025
2,113,0.07783431668140608,5.694436733074368
2,114,0.5260300139162619,3.9594331252702277
2,115,0.10727037605084663,5.529223105514036
2,116,0.4296783162513463,4.303755465481588
2,117,0.09070037447424074,5.630986844184366
2,118,0.4293837617863589,4.30516191953702
2,119,0.08503726403705936,5.663767425090651
2,120,0.5708125571242335,3.7669589274745916
2,121,0.12974956035130183,5.4492774307131056
2,122,0.45798280443348705,4.195154385066775
2,123,0.10294851236186815,5.596641302410804
2,124,0.45799333556536337,4.195196401581665
2,125,0.10333649211318686,5.592310134264491
2,126,0.4982879838413505,4.067482090352234
2,127,0.09489182487947757,5.588562905823537
2,128,0.40891538339883465,4.380982474697863
2,129,0.0754905909896467,5.707718637749359
